Title,Available Globally?,Release Date,Hours Viewed
The Night Agent,Yes,2023-03-23,"812,100,000"
Ginny & Georgia,Yes,2023-01-05,"665,100,000"
The Glory ,Yes,2022-12-30,"622,800,000"
Wednesday,Yes,2022-11-23,"507,700,000"
Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,"503,000,000"
You,Yes,2023-02-09,"440,600,000"
La Reina del Sur,No,2022-12-30,"429,600,000"
Outer Banks,Yes,2023-02-23,"402,500,000"
Ginny & Georgia,Yes,2021-02-24,"302,100,000"
FUBAR,Yes,2023-05-25,"266,200,000"
Manifest,Yes,2022-11-04,"262,600,000"
Kaleidoscope: Limited Series,Yes,2023-01-01,"252,500,000"
Firefly Lane,Yes,2022-12-02,"251,500,000"
The Mother,Yes,2023-05-12,"249,900,000"
Physical: 100 ,Yes,2023-01-24,"235,000,000"
Crash Course in Romance: Limited Series ,Yes,2023-01-14,"234,800,000"
Love Is Blind,Yes,2023-03-24,"229,700,000"
BEEF,Yes,2023-04-06,"221,100,000"
The Diplomat,Yes,2023-04-20,"214,100,000"
Luther: The Fallen Sun,Yes,2023-03-10,"209,700,000"
Fake Profile ,No,2023-05-31,"206,500,000"
Vikings: Valhalla,Yes,2023-01-12,"205,500,000"
Extraction 2,Yes,2023-06-16,"201,800,000"
"XO, Kitty",Yes,2023-05-18,"200,700,000"
Doctor Cha: Limited Series ,Yes,2023-04-15,"194,700,000"
Shadow and Bone,Yes,2023-03-16,"192,900,000"
Outer Banks,Yes,2020-04-15,"184,000,000"
Sweet Tooth,Yes,2023-04-27,"182,300,000"
You People,Yes,2023-01-27,"181,800,000"
Perfect Match,Yes,2023-02-14,"176,800,000"
Sex/Life,Yes,2023-03-02,"175,500,000"
The Marked Heart ,Yes,2023-04-19,"174,300,000"
Murder Mystery 2,Yes,2023-03-31,"173,600,000"
The Surrogacy ,No,2023-06-14,"172,400,000"
"Pablo Escobar, el patrón del mal",Yes,,"170,100,000"
Never Have I Ever,Yes,2023-06-08,"168,300,000"
Your Place or Mine,Yes,2023-02-10,"163,000,000"
Chiquititas (2013),No,,"162,000,000"
Emily in Paris,Yes,2022-12-21,"161,100,000"
Alice in Borderland ,Yes,2022-12-22,"157,600,000"
Alchemy of Souls: Part 1 ,Yes,2022-06-18,"155,300,000"
Outer Banks,Yes,2021-07-30,"153,900,000"
New Amsterdam (2018),No,,"153,000,000"
Til Money Do Us Part ,No,2022-10-19,"152,100,000"
Mr. Queen ,No,,"151,500,000"
Manifest,No,2021-06-10,"151,400,000"
Alchemy of Souls: Part 2 ,Yes,2022-12-10,"150,200,000"
PAW Patrol,No,,"149,300,000"
The Good Bad Mother: Limited Series ,Yes,2023-04-26,"148,600,000"
The Recruit,Yes,2022-12-16,"146,900,000"
Bloodhounds ,Yes,2023-06-09,"146,700,000"
Glass Onion: A Knives Out Mystery,Yes,2022-12-23,"142,900,000"
Wrong Side of the Tracks ,No,2023-03-01,"140,100,000"
Black Mirror,Yes,2023-06-15,"139,900,000"
Triptych ,Yes,2023-02-22,"139,300,000"
The Walking Dead,No,,"136,800,000"
Bridgerton,Yes,2020-12-25,"136,600,000"
CoComelon,No,2020-05-31,"136,200,000"
Extraordinary Attorney Woo ,Yes,2022-06-29,"135,900,000"
The Snow Girl ,Yes,2023-01-27,"134,800,000"
Stranger Things 4,Yes,2022-05-27,"133,600,000"
The Marked Heart ,Yes,2022-04-20,"133,500,000"
Bridgerton,Yes,2022-03-25,"133,400,000"
Little Angel,Yes,,"132,100,000"
PAW Patrol,No,,"130,700,000"
Pasión de Gavilanes,No,,"129,200,000"
Suits (2011),Yes,,"129,100,000"
Sex/Life,Yes,2021-06-25,"126,400,000"
We Have a Ghost,Yes,2023-02-24,"124,400,000"
You,Yes,2018-12-26,"123,500,000"
Business Proposal ,Yes,2022-02-28,"120,700,000"
The Pale Blue Eye,Yes,2023-01-06,"120,500,000"
Crash Landing on You ,Yes,2019-12-14,"120,300,000"
AKA,Yes,2023-04-28,"120,000,000"
MH370: The Plane That Disappeared: Limited Series,Yes,2023-03-08,"118,900,000"
Queenmaker ,Yes,2023-04-14,"118,600,000"
Vikings: Valhalla,Yes,2022-02-25,"116,500,000"
Breaking Bad,No,,"116,200,000"
Muted: Limited Series ,Yes,2023-05-19,"115,800,000"
Lockwood & Co.,Yes,2023-01-27,"113,600,000"
You,Yes,2021-10-15,"107,200,000"
Breaking Bad,No,,"107,000,000"
Suits (2011),Yes,,"106,600,000"
Murdaugh Murders: A Southern Scandal,Yes,2023-02-22,"104,600,000"
Welcome to Eden ,Yes,2023-04-21,"104,500,000"
Breaking Bad,No,,"104,300,000"
Lucifer,No,2017-10-03,"102,800,000"
CoComelon,No,2020-12-17,"102,300,000"
Café con aroma de mujer,No,2021-12-29,"101,700,000"
Love to Hate You ,Yes,2023-02-10,"99,900,000"
The Blacklist,No,,"99,900,000"
Shadow and Bone,Yes,2021-04-23,"99,500,000"
The Unbroken Voice ,No,2022-11-23,"99,000,000"
Designated Survivor,Yes,2016-09-22,"98,500,000"
The Interest of Love: Limited Series ,Yes,2022-12-21,"97,800,000"
Wrong Side of the Tracks ,No,2022-05-20,"97,600,000"
Minions: The Rise of Gru,No,,"96,400,000"
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc ",No,,"95,800,000"
The Blacklist,No,,"95,700,000"
That '90s Show: Part 1,Yes,2023-01-19,"95,100,000"
You,Yes,2019-12-26,"95,000,000"
La Reina del Sur,No,2011-09-05,"94,700,000"
All of Us Are Dead ,Yes,2022-01-28,"94,600,000"
New Amsterdam (2018),No,,"94,400,000"
Black Knight ,Yes,2023-05-12,"94,300,000"
Breaking Bad,No,,"94,300,000"
Obsession: Limited Series,Yes,2023-04-13,"94,200,000"
Who Were We Running From?: Limited Series ,Yes,2023-03-24,"92,900,000"
La Reina del Sur,No,2019-08-16,"92,500,000"
Hunger ,Yes,2023-04-08,"92,300,000"
Alice in Borderland ,Yes,2020-12-10,"92,200,000"
CoComelon,No,2021-05-31,"91,400,000"
Firefly Lane,Yes,2021-02-03,"91,200,000"
Women at War: Limited Series ,Yes,2022-10-27,"90,800,000"
Formula 1: Drive to Survive,Yes,2023-02-24,"90,200,000"
Sweet Tooth,Yes,2021-06-04,"89,000,000"
S.W.A.T. (2017),No,,"88,600,000"
Murder Mystery,Yes,2019-06-14,"87,900,000"
True Beauty ,No,,"87,300,000"
Squid Game ,Yes,2021-09-17,"87,200,000"
Little Angel,Yes,,"86,200,000"
Manifest,No,2021-06-10,"86,200,000"
Extraction,Yes,2020-04-24,"86,100,000"
Lucifer,No,2017-08-31,"86,100,000"
Lady Voyeur: Limited Series ,Yes,2022-12-31,"86,000,000"
Woman of the Dead ,Yes,2022-11-15,"85,400,000"
The Law According to Lidia Poët ,Yes,2023-02-15,"85,000,000"
Florida Man: Limited Series,Yes,2023-04-13,"84,600,000"
Lucifer,No,2017-07-23,"84,400,000"
Shahmaran ,Yes,2023-01-20,"83,600,000"
Breaking Bad,No,,"83,200,000"
The Last Kingdom: Seven Kings Must Die,Yes,2023-04-14,"83,200,000"
Selling Sunset,Yes,2023-05-19,"82,800,000"
CoComelon,No,2021-10-14,"82,500,000"
Suits (2011),Yes,,"82,500,000"
Sam & Cat,No,,"82,400,000"
Gilmore Girls,Yes,,"82,100,000"
Sonic Prime,Yes,2022-12-15,"82,100,000"
Peppa Pig,No,,"81,800,000"
Manifest,No,2021-08-21,"81,700,000"
Roald Dahl's Matilda The Musical,Yes,2022-12-25,"81,000,000"
Better Call Saul,No,2022-04-19,"80,800,000"
Sing (2016),No,,"80,500,000"
Hajime no Ippo: The Fighting! ,No,,"80,300,000"
All Quiet on the Western Front ,Yes,2022-10-28,"80,000,000"
Sky High: The Series ,Yes,2023-03-17,"79,700,000"
Alpha Males ,No,2022-12-30,"78,200,000"
Record of Ragnarok ,No,2023-01-26,"78,200,000"
Chupa,Yes,2023-04-07,"77,800,000"
Stranger Things,Yes,2016-07-15,"77,800,000"
Paw Patrol: The Movie,No,,"77,200,000"
Sing 2,No,,"76,600,000"
The Crown,Yes,2022-11-09,"76,300,000"
Next in Fashion,Yes,2023-03-03,"75,700,000"
Gilmore Girls,Yes,,"75,200,000"
Lucifer,No,2020-08-21,"75,200,000"
The Boss Baby,No,,"75,100,000"
Treason: Limited Series,Yes,2022-12-26,"74,300,000"
Trolls,No,,"73,400,000"
Blood Ties ,No,,"73,300,000"
Money Heist: Part 1 ,Yes,2017-07-01,"73,100,000"
Rough Diamonds,Yes,2023-04-21,"72,800,000"
Vincenzo ,Yes,2021-02-20,"72,800,000"
The Walking Dead,No,,"72,200,000"
The Witcher,Yes,2019-12-20,"72,200,000"
Gabby's Dollhouse,Yes,2021-01-05,"71,600,000"
The Walking Dead,No,,"71,600,000"
Carrossel,No,,"71,300,000"
Gilmore Girls,Yes,,"71,300,000"
Red Rose,Yes,2023-02-15,"71,100,000"
Fauda ,Yes,2023-01-20,"71,000,000"
New Amsterdam (2018),No,,"70,600,000"
Gilmore Girls,Yes,,"69,900,000"
Gilmore Girls,Yes,,"69,800,000"
The Blacklist,No,,"69,700,000"
Divorce Attorney Shin: Limited Series ,Yes,2023-03-04,"69,500,000"
Stranger Things 2,Yes,2017-10-27,"69,200,000"
Hometown Cha-Cha-Cha ,Yes,2021-08-28,"69,000,000"
Love Is Blind,Yes,2022-10-19,"68,900,000"
Kill Boksoon ,Yes,2023-03-31,"68,500,000"
The Thundermans,No,,"68,500,000"
The Flash (2014),No,,"68,200,000"
Red Notice,Yes,2021-11-12,"68,100,000"
Henry Danger,No,,"67,800,000"
The Queen of Flow ,No,2021-11-17,"67,800,000"
The Walking Dead,No,,"67,700,000"
Viking Wolf ,Yes,2023-02-03,"67,500,000"
Designated Survivor,Yes,2017-09-28,"67,200,000"
Bebefinn,Yes,,"67,100,000"
Hotel Transylvania 2,No,,"67,000,000"
Stranger Things 3,Yes,2019-07-04,"67,000,000"
Masha and the Bear,No,,"66,700,000"
Outlander,No,2016-03-31,"66,500,000"
Grizzy and the Lemmings,No,,"66,000,000"
Single’s Inferno ,Yes,2022-12-13,"65,900,000"
The Witcher: Blood Origin: Limited Series,Yes,2022-12-25,"65,300,000"
The Nurse: Limited Series ,Yes,2023-04-27,"65,200,000"
The Watcher,Yes,2022-10-13,"64,400,000"
